Algorithm,n,List Speed,List Ops,Comp. Speed,Comp. Ops,Time (ns)
InsertionSorter,40,Fast,1156,Fast,384,8002007
InsertionSorter,40,Fast,1156,Normal,384,5944444343
InsertionSorter,40,Fast,1156,Slow,384,11676181456
InsertionSorter,40,Normal,1156,Fast,384,17826260572
InsertionSorter,40,Normal,1156,Normal,384,23773960711
InsertionSorter,40,Normal,1156,Slow,384,30115844032
SelectionSorter,40,Fast,1716,Fast,780,1918542
InsertionSorter,40,Slow,1156,Fast,384,35989331873
SelectionSorter,40,Fast,1716,Normal,780,12191028183
InsertionSorter,40,Slow,1156,Normal,384,41886633916
SelectionSorter,40,Fast,1716,Slow,780,23752966155
InsertionSorter,40,Slow,1156,Slow,384,47660803221
SelectionSorter,40,Normal,1716,Fast,780,26571333391
SelectionSorter,40,Normal,1716,Normal,780,38718928724
SelectionSorter,40,Normal,1716,Slow,780,51831680699
MergeSorter,40,Fast,766,Fast,167,327476
SelectionSorter,40,Slow,1716,Fast,780,53638696413
MergeSorter,40,Fast,766,Normal,167,2604360315
MergeSorter,40,Fast,766,Slow,167,5081865314
MergeSorter,40,Normal,766,Fast,167,11894453588
SelectionSorter,40,Slow,1716,Normal,780,66061579681
MergeSorter,40,Normal,766,Normal,167,14476026252
MergeSorter,40,Normal,766,Slow,167,17383712343
MergeSorter,40,Slow,766,Fast,167,24741786756
QuickSorter,40,Fast,673,Fast,305,199841
QuickSorter,40,Fast,673,Normal,305,4748278655
MergeSorter,40,Slow,766,Normal,167,27390334430
SelectionSorter,40,Slow,1716,Slow,780,78926104966
QuickSorter,40,Fast,673,Slow,305,9433367235
QuickSorter,40,Normal,673,Fast,305,10475744725
MergeSorter,40,Slow,766,Slow,167,29469087995
QuickSorter,40,Normal,673,Normal,305,15133675785
QuickSorter,40,Normal,673,Slow,305,20045751803
QuickSorter,40,Slow,673,Fast,305,21311744604
QuickSorter,40,Slow,673,Normal,305,26477622059
QuickSorter,40,Slow,673,Slow,305,32468476803
